,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2,92.4072419275445,62.57554164926112,62.46820729840839,92.655194536663,83.76395406139804,80.57134686403022,96.12793894160683,62.3419213011209,196.87656273000334,273.322825001255,147.7444939206567,192.9597540075823
1,3,110.0690373468222,130.22842357831223,139.56950619251873,137.94990565632233,147.89689042058467,134.99920115958275,185.73573890310487,164.18407890141444,107.30726469630923,117.72609720136037,109.49566201452915,116.02274681189796
2,4,96.43984061135137,123.62004390161528,108.1888539776626,70.17858172785577,65.39955424095224,71.58212067269312,70.48171687603178,57.28377636366826,52.975308713903054,50.68898185361324,50.345080381742044,85.22589032067884
3,5,26.508253431714433,20.605293615961894,22.323720228682426,26.06272481917422,25.30888544641353,19.871811414385174,20.404373588484933,23.476293652030417,35.10949904337747,34.80012050405536,51.62660604390824,57.317953784891486
4,6,34.15406271587613,35.65177667841911,38.44929758589206,38.891960806632206,40.45817144117658,51.03724130475706,52.00503638614062,38.16214362885301,52.662545988586615,49.35732125318717,36.397890757747255,41.17772032498631
5,7,70.1192861181165,90.8557530217149,83.63951796559591,52.47204769659446,82.89580378833591,87.88149916072689,72.25497780901894,91.92106473957503,67.33615592485839,83.3497364808586,79.70523526282251,63.60031446463138
6,8,87.06620360118964,77.84481604201648,79.40236327791287,75.9032478244708,88.71554407878041,91.97408267581673,88.93042905620781,82.9319987574787,60.40011517409117,55.12712580935088,64.62983174599135,66.60884397163859
7,9,23.56533471012029,17.590480380023735,20.298684325981665,20.123078084749814,9.366343740314488,10.39171809077059,10.91198554670178,9.62655640586467,12.46343489180754,13.023787760058424,10.66257361946337,13.324788928909907
8,10,72.81779157067845,38.61553340677628,36.78057654266462,31.91627560741774,30.838501226465866,52.806747973899576,53.35133423696979,34.90159912699734,35.597900588599174,37.59133022530738,35.65570006841011,38.249429641819866
9,11,53.680004258036874,76.73749316431217,77.66733087800999,39.102429592034305,41.18012422976584,56.69346213320058,57.49553122731462,42.803098756490684,81.17462315554316,101.15170125443598,86.54110190447415,72.8700586972829
10,13,43.59961960004115,65.26021260183887,57.041906259937015,28.141436995833672,23.337674666160066,47.059739136750935,53.71541379355041,42.07180810277872,35.19621868217961,40.83938566735238,40.82891132518721,23.55413546062129
11,14,21.16134374598651,19.562072967739915,25.696711611689167,27.42378716669349,25.288462371483245,19.859952706866835,17.196923481111085,17.503086147630025,19.470427858052062,15.607122684243008,19.0375111101292,23.718536327464253
12,15,40.43530262815077,57.297129412921194,59.60861235313792,26.04883234747129,36.917548745893264,82.83623666767556,78.75233682599873,24.893196517858296,31.605906620967755,34.164699130340175,33.034527391806286,30.60178732942084
13,16,40.17625640782586,33.498373477544035,26.911779993880458,22.792146184834007,18.41227212230697,15.469658846515854,18.244741385815644,19.440691247753414,20.88117643744635,22.96857756926962,18.03402868125119,16.311735875520032
14,17,53.82601078121727,53.208746759412755,63.2110552039752,57.65860114253801,59.54403863791431,53.67124873874718,43.24895631367562,44.02587622952867,47.48391540534776,44.444409722208654,43.564402243771724,42.71290386830126
