,0,1
0,1,8.517145535595514
1,2,8.517189478282074
2,3,8.517191737506618
3,4,8.517189397432155
4,5,8.517190184844768
5,6,8.517191248111693
6,7,8.516185912435432
7,8,8.516388570980855
8,9,8.51718375926784
9,10,8.517110467465987
10,11,8.51717187767547
11,12,8.517166179126312
12,13,8.51717840589158
13,14,8.517127542448957
14,15,8.516764842120102
15,16,8.516789867257838
16,17,8.517185754391035
17,18,8.517191184102044
18,19,8.517188985579743
19,20,8.517190248765935
20,21,8.517168391187075
21,22,8.517188511170618
22,23,-inf
23,24,8.517186293537488
24,25,8.517170894530171
25,26,8.517156485995395
26,27,8.516696414641789
27,28,8.517179437331167
28,29,8.516949098689949
29,30,8.51692783561277
30,31,8.51717441459044
31,32,8.51689354406372
32,33,8.489383576381428
33,34,8.504231476381468
34,35,8.51718437113124
35,36,8.516790730410243
36,37,-inf
37,38,-inf
38,39,-inf
39,40,-inf
40,41,8.487414534780035
41,42,-inf
42,43,8.499210310220061
43,44,8.511821952456902
44,45,-inf
45,46,-inf
46,47,8.479525480469931
47,48,8.478735286151657
48,49,-inf
49,50,-inf
50,51,-inf
51,52,8.467300349177911
52,53,8.477175896744077
53,54,8.499887484618245
54,55,-inf
55,56,-inf
56,57,-inf
57,58,-inf
