,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1.0,34159619.520499684,32071801.18346458,30472448.577729825,25500325.251646206,6829713.932979573,4463271.024008742,4541798.173775991,4502310.821138617,9445987.712393884,7703165.023964957,5826529.778959487,4860763.221922916,5887436.778108552,5944297.568157898,5897740.578427816,,,,,,,
0,2.0,483.26749320526847,399.5503444783718,450.75175859048875,477.3051638269227,442.1112949480374,447.2739260810672,418.4732508585081,365.634536275225,379.86449911594156,439.7173494316917,530.7988767971253,376.01689467555434,352.5250733345142,324.89490386216045,373.5232327006357,,,,,,,
0,3.0,62095785.782023825,752145.4307260569,389740.22339472745,214166.9383358374,193334.63233817436,225756.94539120124,279324.76549989067,316045.53825691063,230933.14566475607,319909.38358015526,364741.21087527624,235014.26270461714,271910.9571009633,429149.7389571955,421523.60366625385,,,,,,,
0,4.0,75629169.46361504,8713568.775716439,9466862.69604485,1845883.3082673592,236639.0761504277,149993.0326858469,155118.38626437046,172281.6503665903,157138.43247354717,153847.1529781147,632146.2756852631,511470.13898662897,431021.71625037043,442982.23012116103,396023.8878016362,,,,,,,
0,5.0,438365.375381208,421400.7334484426,1365111.4974572805,1595698.523987611,1465177.0727165812,1584371.3873895346,1557830.2352221808,1578146.8392092627,1880408.6453819738,1738979.1092178237,1771070.1989473142,1630501.051262786,1603446.6435557168,748401.0328347406,629611.3631985311,,,,,,,
0,6.0,914939.9227448714,903439.8494198987,906706.6185647903,1049164.2397368615,833348.1756298626,554776.1105378759,745874.2917954162,1075377.7753456188,1133422.0651390126,,,,,,,,,,,,,
0,7.0,33365228.77983989,17621780.02463514,,,,,,,,,,,,,,,,,,,,
0,8.0,66790984.74872152,62105155.96031375,61920230.822609834,43035680.0621547,36424548.0095189,34172062.674347825,3991130.2859570254,3203097.249690627,3436974.5944072353,3222113.568680568,2861539.192740239,2639938.4665758125,2924184.1623276668,663777.5417597848,3654021.3834258774,,,,,,,
0,9.0,356.6809968189186,321.3426541913801,388.83515324912577,411.6546505176541,471.8976251870388,449.2449833476717,433.57086944832747,438.32986017672897,476.2014273793598,495.7087969601984,613.0387788046023,630.5001596530408,667.1557326285898,596.1546699619112,495.21382510236134,,,,,,,
0,10.0,374561.8033441483,427261.8436791034,358233.47776718484,331835.7262935776,317829.0099778259,868755.7874825238,730034.5221865212,987645.2512512679,1366742.3937131884,1193034.0470156397,1423856.8288491953,1433130.4362686528,1394781.0393585693,1458609.21605458,1379872.3842448734,,,,,,,
0,11.0,1106303.4764704038,1323921.4100445756,1439791.498121334,1451492.8661970166,864476.2669068074,827918.5502750776,751522.8346317562,728968.7811182018,748485.5347521323,739474.0738442917,1101454.157161213,1210679.2993350113,945377.9036123878,942675.4966005177,814008.898539774,,,,,,,
0,12.0,1995901.600834166,1634279.312440707,1589518.8579159111,1524229.2654961217,1673796.9621595202,1609188.1413730686,1276517.6765564452,1015981.6693639014,2079029.8204418754,2018341.5124195633,1930952.8943715526,1988863.0633269374,2166882.951957096,2086089.8186974113,2055869.8763494506,,,,,,,
0,13.0,1568440.3634725048,2152677.018893336,4540807.241937203,3106480.456294589,3434683.534323872,2203122.5395323033,2136796.6862311093,3077942.749450645,3277803.188099969,2920232.4197497955,3126722.757630635,2756262.874035078,2701211.8206120078,2976137.6115804035,1360752.8527550278,,,,,,,
