,0,1,2
0,1,29.17538560156489,30.831193619449767
1,2,240.73252340738455,264.1329341383837
2,3,29.807406487003888,25.160910726192494
3,4,87.30877062799263,63.30547632972469
4,5,280.0736118776195,328.0393777175742
5,6,204.80919826098557,44.87052079443291
6,7,28.460167463939346,21.02889169010782
7,8,133.01292230456409,32.993370546217314
8,9,348.36079104965404,378.2564322935283
9,10,18.932095563466884,13.093679560934902
10,11,3.8999580600383386,7.745966692414834
11,12,41.90832485685502,39.07227734779299
12,13,14.44385682565429,13.321661558028964
13,14,15.531841334436018,17.208282889353022
14,15,35.002995263539304,41.18171115110849
15,16,278.00307887576855,487.2493494828172
16,17,128.60645867187702,28.43901857972208
17,18,292.80195090904084,230.05704167497768
18,19,68.95038195988325,44.34523649728345
19,20,21.469408093167537,18.939754109129446
20,21,276.3103135616385,276.83670728427614
21,22,45.034907095972315,59.06419344550826
22,23,337.4822823632241,263.2713157833297
23,24,119.93183961670127,13.938356351370048
24,25,22.876148754066577,20.237871147218733
25,26,362.87376789811003,61.220003992885275
26,27,32.08372460633872,26.105554964413226
27,28,145.89092420265862,28.777033326227766
28,29,105.43614181105073,98.61190441476978
29,30,527.2440007848703,259.5176936806686
30,31,28.28239628097201,26.79785439172323
31,32,629.7857912474232,423.78274880157426
32,33,136.03705144216912,36.20674759528355
33,34,38.478859670076424,31.249615382248493
34,35,80.00028409040468,21.997326040707232
35,36,33.57287492953922,32.41604540964243
36,37,54.37731045106858,54.62905209989766
37,38,294.66813491538795,285.62020236670935
38,39,30.34902786027078,34.87306173513603
39,40,33.46821196480643,25.158249144167407
40,41,66.91761906953568,60.38780920020199
41,42,55.115145334862525,40.660616255606776
42,43,18.193405398660254,14.435681102354987
43,44,315.86042932094364,288.9966590905806
44,45,34.7114792605102,33.258726030064004
45,46,46.515519435851694,24.16195356340211
46,47,178.57779417225584,315.22132345166733
47,48,225.95888571327947,266.4486348248007
48,49,24.14763152170639,19.05946373575964
49,50,29.403881296422718,31.12073263919087
50,51,118.88672579993349,30.067780572756423
51,52,22.912450592567847,17.53019373274843
52,53,40.7406014949398,55.6255337053048
53,54,85.59789717043287,9.746794344808963
54,55,30.7625313219399,37.93415347678132
55,56,258.69982605328516,261.0038313895028
56,57,56.80496388141293,63.48349270600859
57,58,73.76369929262857,72.89095217577356
