,0,1
0,1,22.575343936386748
1,2,291.2268690998725
2,3,25.949800709499584
3,4,77.61190529253392
4,5,42.81480051170556
5,6,703.9897726529839
6,7,29.832269201559
7,8,263.714189821184
8,9,209.5540151032703
9,10,11.360444599245987
10,11,27.921516991580365
11,12,35.55686041512446
12,13,14.022091413874309
13,14,342.36048253266614
14,15,25.676688020309545
15,16,261.9078649634824
16,17,20.17538485001349
17,18,22.376529912144353
18,19,73.4275387594863
19,20,25.135371197694727
20,21,287.92393946189026
21,22,40.39237927873856
22,23,293.2788481268649
23,24,31.80973710988508
24,25,43.44114792835628
25,26,359.26155989898587
26,27,41.51698902086338
27,28,28.260506895666257
28,29,79.94917366909036
29,30,623.401132676403
30,31,25.819274208136072
31,32,786.6143723144826
32,33,160.33321982455897
33,34,28.088154877891935
34,35,99.73580485076947
35,36,28.061539515856932
36,37,292.67072824663177
37,38,277.86796989874915
38,39,38.53323688489699
39,40,42.45724493015089
40,41,63.110603513689114
41,42,48.628878839048475
42,43,24.47766839386464
43,44,192.05835510257262
44,45,34.18468359649673
45,46,303.0981689156172
46,47,277.7922128381455
47,48,67.70948289622417
48,49,26.900795114229947
49,50,25.20251310220206
50,51,39.16950344336777
51,52,314.7685376959272
52,53,35.67246263105387
53,54,16.31172779836998
54,55,81.53265462679235
55,56,238.3643235147359
56,57,80.77854341917212
57,58,326.45666233200444
