,0,1
0,1.0,34338.79558069321
0,2.0,5.416028178201014
0,3.0,7134.940755960623
0,4.0,255658.838422164
0,5.0,287323.93445599184
0,6.0,545728.4820219332
0,7.0,6900220.705211739
0,8.0,1618931.1699350441
0,9.0,109495.82355048369
0,10.0,197260.04956506036
0,11.0,136115.86503358887
0,12.0,214281.03437298385
0,13.0,2932100.7595471204
0,14.0,7432064.093820265
0,15.0,2204267.1576960087
0,16.0,18.63411085817365
0,17.0,1047827.6845196373
0,18.0,16.713018331873293
0,19.0,392369.55415621435
0,20.0,130415.33833826365
0,21.0,36.79760817215806
0,22.0,76036.91725011679
0,23.0,8.665051395017336
0,24.0,27183.489048960804
0,25.0,36017.85267152557
0,26.0,566585.9243849013
0,27.0,148284.74299957437
0,28.0,263049.7860739328
0,29.0,193470.37839045565
0,30.0,218825.18336984096
0,31.0,171630.43912032415
0,32.0,1660605.7850702447
0,33.0,136346.03143601457
0,34.0,188639.72468519688
0,35.0,64639.722385329296
0,36.0,124615.93543582392
0,37.0,293817.1162203859
0,38.0,7.943290187860033
0,39.0,56091.11375221715
0,40.0,33561.007114381486
0,41.0,83728.7899944608
0,42.0,20742.94015742553
0,43.0,380062.11251592374
0,44.0,9194.229132260789
0,45.0,1357.090086688614
0,46.0,22908.46931239767
0,47.0,4.187995751424457
0,48.0,9.072815055180866
0,49.0,86551.56655540285
0,50.0,3641.542226932654
0,51.0,29128.794339176777
0,52.0,494372.52995752665
0,53.0,46709.06782737421
0,54.0,7276.659163737369
0,55.0,41505.5370504794
0,56.0,19747.933594821472
0,57.0,99925.78333627395
0,58.0,6345.607036453109
