,0,1,2,3
0,1.0,922.2646087590854,889.2685935043706,860.4509075999913
1,2.0,907.4521257495089,867.8849004001002,731.9223669948494
2,3.0,934.7301947943887,909.7405496205745,880.9260934881257
3,4.0,933.7943567964091,1002.815099088349,961.8539271142364
4,5.0,825.5865833472592,701.7208274507976,608.7541559594118
5,6.0,925.341616102488,878.2348382636361,835.862881294792
6,7.0,978.0092806890125,977.235653033999,973.7278426509305
7,8.0,912.249867999178,874.1380549117307,839.0467491893945
8,9.0,963.6322707131114,930.4281999381749,881.5317573132833
9,10.0,967.4886307227738,957.8506390007155,926.9926017667723
10,11.0,931.9568151329075,917.1110118666359,901.8193956281175
11,12.0,904.9057206000514,844.1422288276696,797.6191054578326
12,13.0,992.8041130310891,974.1132289676901,940.0617463692047
13,14.0,902.7226028454256,857.3409559101816,816.5071642658376
14,15.0,886.6395239136184,830.7907370427577,786.6017448200972
15,16.0,902.800049581178,846.3988911782685,788.2310728276067
16,17.0,918.2153338825011,891.9032749770397,865.7419137937685
17,18.0,791.3707224870194,691.9141096506077,618.2966884814189
18,19.0,895.9334010262745,848.9594369312332,805.3455952282247
19,20.0,935.1027492622106,896.9218856137533,857.6310541940192
20,21.0,970.7760601598726,976.4178303435882,964.8188107991765
21,22.0,943.5443850780695,919.5148992208007,889.5006287522365
22,23.0,922.549039898025,909.3593867190551,893.5523360569664
23,24.0,908.7164011276337,872.5159230861739,837.5954162106855
24,25.0,905.2397768525985,862.106155567564,812.8344663831961
25,26.0,885.9470897942988,833.2293420761334,789.5914435423384
26,27.0,958.7042625228759,924.4028762493625,886.6290480231012
27,28.0,954.6452710567293,987.1798920845255,985.586904064643
28,29.0,940.0029693643232,932.3981419996428,928.1748107407501
29,30.0,913.3065601539934,884.9172403215614,860.0931681433927
