,0,1,2,3
0,1,73.2415485214412,74.43848183211705,75.18923817220755
1,2,63.79160297095967,64.63489415871422,64.47937327376533
2,3,70.02081522512893,66.22857384226631,59.951201209540116
3,4,51.49334772454171,52.62588371611192,53.434485699538406
4,5,60.259321327410966,59.628194514941704,59.81686928085819
5,6,63.660078734296505,66.67966807568611,69.83427185551166
6,7,67.51581605086854,64.64248765403107,66.67001578826836
7,8,73.12455422363438,72.20119890311591,72.34649619841467
8,9,72.08327589526701,68.83800694139289,71.04554387406331
9,10,78.07449019002792,74.72208661463246,74.5218860349959
10,11,69.6198659382236,70.17412242815348,70.5664524770981
11,12,55.51390143545518,54.23077424725365,52.79835358542643
12,13,80.70358503889648,78.2595896775262,77.15575026441724
13,14,60.10139465619393,59.997925614435886,60.86425090701211
14,15,74.85792957833809,74.40611060230293,74.31794278466303
15,16,59.72019768277795,58.25753751581792,57.98207867189108
16,17,72.77860226982935,67.29454918569321,65.59716889829885
17,18,76.26346807802487,76.1390948250054,75.91343936136045
18,19,68.37483918105671,65.62743574201423,64.15257854591289
19,20,69.69907942504585,71.3876787337173,73.04320685185613
20,21,73.41447857483688,71.869337786002,69.89253632512899
21,22,88.4574005387374,83.85232863458097,83.81199433211914
22,23,88.46834809403914,86.86408306006813,85.93430420732626
23,24,68.01692154177753,66.56903505133214,67.35481450055983
24,25,68.81762307588926,67.73800534302623,67.79809413958998
25,26,73.54230917712965,71.51965054467918,69.50780443143915
26,27,82.1841254594414,79.05827973811861,79.24753204632951
27,28,81.72676729959971,79.61932176653148,79.45476822993656
28,29,69.45600738661734,71.05935234390184,71.59617559522113
29,30,83.83097257863706,82.89752043168,83.96936987348515
