,0,1,2,3,4
0,1.0,761.8890929122289,514.0683070143226,310.99816378993745,155.3110539845759
1,2.0,712.8473967684021,453.2362144139522,255.21210566812005,116.47704539625539
2,3.0,537.5374956400417,271.4475061039414,203.04987792117146,357.8821067317751
3,4.0,909.5961313990329,666.9574787393695,407.20093380023343,191.32766383191606
4,5.0,731.4926288133119,434.89981997761896,249.26151899965942,106.0719116430692
5,6.0,755.8095238095236,495.3495934959349,371.363530778165,208.4274099883857
6,7.0,828.7337177023275,689.991885543455,486.5257313687806,251.13474268631188
7,8.0,816.5606121627064,663.9710028191707,471.1719693918646,229.0906161900927
8,9.0,878.6372239747636,780.1135646687695,553.993690851735,276.72765509989495
9,10.0,851.462398596799,698.6818680114013,477.42512606884475,245.95308046481034
10,11.0,779.5417590539538,549.8418329637841,345.49593495934977,206.61640798226145
11,12.0,927.0750047232194,829.4728887209523,724.228981673909,616.6635178537691
12,13.0,721.5935272587167,490.5968021575802,269.6605663648618,180.29974956655713
13,14.0,663.5191757298222,481.71570311009344,328.8288494562109,203.68631940469413
14,15.0,800.194652709011,695.0278681567407,436.3117838449568,166.15193096619012
15,16.0,760.1712538226296,554.6666666666663,354.2507645259934,178.49541284403642
16,17.0,898.6011277795513,679.5071816150654,445.3784445153742,211.35865517608275
17,18.0,783.9542595769011,551.7148846960166,320.64646464646466,153.00476462740622
18,19.0,796.2715298885512,596.1402228976696,390.09523809523824,191.72765957446796
19,20.0,463.023066485753,347.2383536861148,241.29534147444596,142.18362731795548
20,21.0,667.4655870445345,576.8513591671484,431.7501445922502,331.06766917293277
21,22.0,793.8702865761688,613.9366515837105,448.6757164404221,279.5535444947211
22,23.0,971.6385511968919,955.2114300037599,945.2011530266951,938.4634665998245
23,24.0,709.9110604332951,556.3694412770808,388.81641961231503,287.23375142531313
24,25.0,631.3635893011217,499.0122519413287,334.6774805867127,178.47109577221738
25,26.0,875.7609880939133,635.9123177923666,384.7833537331703,186.1818181818182
26,27.0,695.8515724800778,595.583997404546,515.1041628647322,470.9814465600097
27,28.0,655.576719576719,510.4520030234311,365.3272864701431,211.301587301587
28,29.0,604.2821124361157,415.18228279386716,232.82771152754106,142.92969903463933
29,30.0,746.9515108924809,548.3401264933243,377.79339423752657,237.47013352073088
