,0,1,2,3,4,5
0,1,,69.9882516849498,70.25579588883444,71.97894318228899,73.12713303108933
1,2,,61.23536635919125,61.767897472660714,62.89633166741443,63.23026352967074
2,3,,62.681034984035186,61.540213199580485,60.748523671664316,62.887964289194215
3,4,,56.396441328835046,57.917523336975954,56.45344270977676,56.33448547572975
4,5,,62.428833714533766,63.616695697784984,65.10582158368943,65.33938167690094
5,6,,70.23097426814479,69.39019835311892,69.49939488969216,72.57777064021455
6,7,,66.16877184994362,66.32692796668405,67.8589527153821,69.33443031340306
7,8,,71.60415669342594,72.06353103751275,71.56076628917229,71.85492785044057
8,9,,73.34862643202823,71.95348620770294,73.98145644644264,76.43228898311848
9,10,,69.4551076629219,68.67699730647186,68.6656779274731,67.56914851758934
10,11,,65.49355838773013,66.65589289280432,64.9279910162137,64.71656693777344
11,12,,52.322552683593365,52.70722008020159,53.700230685276146,53.966284138213176
12,13,,72.01890652918999,70.62976121068024,71.1417098257944,72.39501370414975
13,14,,61.721415842116805,59.57173812512186,59.63064769295526,62.139156286174135
14,15,,72.32901349857006,71.47235144985784,72.97990834548766,74.70768450942262
15,16,,56.78322133740809,55.75153562230708,55.64372635283025,57.5355536778378
16,17,,67.49245926330241,66.54635584746367,68.73841590988978,71.0448797767452
17,18,,74.61118459884901,75.56094287081018,75.93249364853355,76.07476317902524
18,19,,58.478811758130554,59.965169957760644,60.03436433517624,58.68795675074267
19,20,,71.66246825563692,72.08439449267817,69.70440136876694,70.4253845996343
20,21,,69.85365273021152,71.10442823242369,71.89689615713233,69.91707805969017
21,22,,82.47976058890413,79.51817497460637,78.89426078600783,80.05145045186816
22,23,,76.99369990875475,76.21869569452028,77.86176481128598,79.65021259752066
23,24,,63.606381671758584,63.809855115587716,64.21711398025715,66.63217182445571
24,25,,70.70464298732648,69.74453460590405,70.27278906483964,71.16849424859426
25,26,,62.69542675536614,63.23897021943345,64.14324333498976,64.85911306709896
26,27,,76.6922375939394,77.28530597630352,77.50596442447134,76.26478507320076
27,28,,82.20778271993706,82.98468332974845,82.53298992838525,82.08257691367847
28,29,,69.13001810792937,67.31790249236454,68.03284344938925,68.49205584164275
29,30,,83.80635502682699,84.09340218506861,84.90307202783629,85.09451079197638
